,缺失比率
贴现系数,70.77
设定功能分,70.77
等级_1,70.77
规划用途,70.77
开发程度,70.77
折现分数,70.77
规划用途_1,70.77
面积_1,70.77
开发程度_1,70.77
折现年份,70.77
分类,59.71
主要区域,59.65
作用分,58.35
名称,58.30
级别,58.30
功能分,57.75
等级,57.27
面积,56.29
市场评价,5.97
距市场距离,5.97
距车站距离,5.97
距银行距离,5.97
距学校距离,5.97
距医疗距离,5.97
距文娱距离,5.97
商服评价,5.97
评估用途,5.97
车站评价,5.97
银行评价,5.97
学校评价,5.97
医疗评价,5.97
文娱评价,5.97
级别价评估,5.97
区片价评估,5.97
测算容积率,5.97
容积率_1,5.97
距商服范围,5.97
SJNF,5.97
控规用途,5.97
TBDLMJ,5.97
TBBH,5.97
DLBM,5.97
DLMC,5.97
QSXZ,5.97
ZLDWDM,5.97
ZLDWMC,5.97
TBMJ,5.97
XZDWKD,5.97
级别价,5.97
CZCSXM,5.97
BZ,5.97
SHAPE_Leng,5.97
xzdm,5.97
分类_1,5.97
用途_1,5.97
区片,5.97
面积_公顷,5.97
